file,width,height,format,size
docs/ppt/assets/docx_media/image1.png,882,180,png,59207
docs/ppt/assets/docx_media/image10.png,2500,1360,png,285059
docs/ppt/assets/docx_media/image11.svg,3400,1850,svg,13776
docs/ppt/assets/docx_media/image12.png,2500,1201,png,161388
docs/ppt/assets/docx_media/image13.svg,2600,1250,svg,4459
docs/ppt/assets/docx_media/image14.png,1299,546,png,107272
docs/ppt/assets/docx_media/image15.png,2500,1447,png,199713
docs/ppt/assets/docx_media/image16.svg,2850,1650,svg,6966
docs/ppt/assets/docx_media/image17.png,1221,635,png,91825
docs/ppt/assets/docx_media/image18.png,1299,629,png,50438
docs/ppt/assets/docx_media/image19.png,1295,627,png,274026
docs/ppt/assets/docx_media/image2.png,2500,1770,png,199443
docs/ppt/assets/docx_media/image20.png,2500,1229,png,177817
docs/ppt/assets/docx_media/image21.svg,3050,1500,svg,6323
docs/ppt/assets/docx_media/image22.png,1297,689,png,109348
docs/ppt/assets/docx_media/image23.png,1298,649,png,152084
docs/ppt/assets/docx_media/image24.png,1296,617,png,113938
docs/ppt/assets/docx_media/image25.png,1223,629,png,91165
docs/ppt/assets/docx_media/image26.png,1126,205,png,29255
docs/ppt/assets/docx_media/image27.png,2500,1730,png,225213
docs/ppt/assets/docx_media/image28.svg,2600,1800,svg,10439
docs/ppt/assets/docx_media/image29.png,1117,271,png,40066
docs/ppt/assets/docx_media/image3.svg,2400,1700,svg,8077
docs/ppt/assets/docx_media/image30.png,1297,609,png,278113
docs/ppt/assets/docx_media/image31.jpeg,951,764,jpeg,44015
docs/ppt/assets/docx_media/image32.png,1114,627,png,95942
docs/ppt/assets/docx_media/image33.png,1299,658,png,265315
docs/ppt/assets/docx_media/image4.png,2500,1700,png,178171
docs/ppt/assets/docx_media/image5.svg,2500,1700,svg,5506
docs/ppt/assets/docx_media/image6.png,2500,1574,png,197852
docs/ppt/assets/docx_media/image7.svg,2700,1700,svg,8836
docs/ppt/assets/docx_media/image8.png,2500,1634,png,216268
docs/ppt/assets/docx_media/image9.svg,2600,1700,svg,15088
docs/ppt/assets/figures/fig_3_1_system_architecture.png,2400,1700,png,112716
docs/ppt/assets/figures/fig_3_2_network_access.png,2500,1700,png,111419
docs/ppt/assets/figures/fig_3_3_module_structure.png,2700,1700,png,127797
docs/ppt/assets/figures/fig_3_4_er_diagram.png,2600,1700,png,156771
docs/ppt/assets/figures/fig_3_5_api_access.png,3400,1850,png,307607
docs/ppt/assets/figures/fig_4_1_login_flow.png,2600,1250,png,105396
docs/ppt/assets/figures/fig_4_3_upload_flow.png,2850,1650,png,150045
docs/ppt/assets/figures/fig_4_8_preview_chain.png,3050,1500,png,146382
docs/ppt/assets/figures/fig_5_1_test_scope.png,2600,1800,png,141087
